customer_id,signup_date,snapshot_date,tenure_months,country,industry,company_size,subscription_plan,contract_type,monthly_revenue,auto_renew,monthly_logins,active_days_last_30,avg_session_minutes,feature_usage_score,days_since_last_login,usage_change_30d,support_tickets_last_90d,avg_resolution_hours,customer_satisfaction_score,failed_payments_last_6m,payment_method,churn_probability,churn,revenue_per_login,support_ticket_rate,engagement_ratio,is_inactive,is_declining_usage,is_low_satisfaction,is_payment_risk,is_non_renewing
CUST_000018,2025-10-14,2026-06-30,8,Canada,Professional Services,Small,Pro,Annual,103.44,1,32,18,16.0,59.0,12,-2.5,0,22.0,76.5,0,Credit Card,0.05,0,3.2325,0.0,0.6,0,1,0,0,0
CUST_000019,2022-04-15,2026-06-30,50,United Kingdom,Technology,Small,Pro,Monthly,98.9,1,28,12,14.2,73.1,18,1.9,1,18.7,81.5,1,Wire Transfer,0.13,0,3.5321428571428575,0.3333333333333333,0.4,1,0,0,1,0
CUST_000020,2024-03-14,2026-06-30,27,Canada,Finance,Mid-Market,Business,Monthly,253.12,1,54,23,27.8,73.2,7,10.1,1,18.8,85.7,0,Wire Transfer,0.05,0,4.687407407407408,0.3333333333333333,0.7666666666666667,0,0,0,0,0
CUST_000021,2023-12-15,2026-06-30,30,India,Professional Services,Enterprise,Enterprise,Annual,631.74,1,85,23,29.8,78.1,7,-25.0,1,11.2,80.0,0,ACH,0.15000000000000002,0,7.432235294117647,0.3333333333333333,0.7666666666666667,0,1,0,0,0
CUST_000022,2024-08-04,2026-06-30,22,Australia,Professional Services,Small,Basic,Annual,52.79,1,21,8,9.4,40.4,22,-0.1,2,32.3,69.5,1,ACH,0.25,0,2.513809523809524,0.6666666666666666,0.26666666666666666,1,1,0,1,0
CUST_000023,2025-07-08,2026-06-30,11,India,Manufacturing,Mid-Market,Business,Monthly,220.54,1,62,20,20.5,84.3,10,-1.8,0,14.5,87.0,1,ACH,0.13,0,3.5570967741935484,0.0,0.6666666666666666,0,1,0,1,0
CUST_000024,2021-11-10,2026-06-30,55,United Kingdom,Retail,Small,Basic,Monthly,48.74,1,14,10,8.3,37.6,20,10.4,6,25.3,57.2,0,Credit Card,0.2,0,3.4814285714285718,2.0,0.3333333333333333,1,0,1,0,0
CUST_000025,2022-07-29,2026-06-30,47,United Kingdom,Manufacturing,Mid-Market,Pro,Annual,90.7,1,21,13,15.4,54.5,17,7.6,0,21.9,72.1,0,Wire Transfer,0.05,0,4.319047619047619,0.0,0.43333333333333335,1,0,0,0,0
CUST_000026,2023-04-02,2026-06-30,38,United Kingdom,Manufacturing,Mid-Market,Business,Annual,282.94,1,52,14,20.8,68.9,16,23.9,2,16.9,74.3,0,ACH,0.05,0,5.4411538461538465,0.6666666666666666,0.4666666666666667,1,0,0,0,0
CUST_000027,2024-06-08,2026-06-30,24,Canada,Finance,Mid-Market,Enterprise,Annual,603.51,1,93,27,31.7,84.7,3,31.5,1,13.3,76.7,0,ACH,0.05,0,6.489354838709677,0.3333333333333333,0.9,0,0,0,0,0
CUST_000028,2022-05-16,2026-06-30,49,United States,Healthcare,Mid-Market,Enterprise,Annual,628.15,1,79,24,32.2,95.5,6,-6.2,0,14.5,78.4,0,Wire Transfer,0.05,0,7.951265822784809,0.0,0.8,0,1,0,0,0
CUST_000029,2023-09-25,2026-06-30,33,United Kingdom,Retail,Small,Basic,Monthly,47.46,1,18,13,15.8,27.8,17,-38.4,1,31.8,64.8,0,Wire Transfer,0.15000000000000002,0,2.6366666666666667,0.3333333333333333,0.43333333333333335,1,1,0,0,0
CUST_000030,2024-03-27,2026-06-30,27,United States,Retail,Small,Basic,Monthly,48.13,1,18,4,8.2,37.7,26,-42.1,3,27.8,66.1,0,Credit Card,0.32,0,2.673888888888889,1.0,0.13333333333333333,1,1,0,0,0
CUST_000031,2024-03-14,2026-06-30,27,United States,Professional Services,Mid-Market,Pro,Annual,104.44,1,43,13,12.0,48.5,17,22.1,3,28.9,66.7,0,Credit Card,0.1,1,2.4288372093023254,1.0,0.43333333333333335,1,0,0,0,0
CUST_000032,2025-04-19,2026-06-30,14,India,Healthcare,Small,Pro,Monthly,101.55,1,37,9,16.6,62.5,21,-20.7,2,25.0,66.4,0,Credit Card,0.27,0,2.7445945945945946,0.6666666666666666,0.3,1,1,0,0,0
CUST_000033,2025-12-17,2026-06-30,6,United States,Technology,Mid-Market,Business,Annual,269.89,1,68,20,22.7,71.8,10,-6.5,1,25.5,71.5,1,Credit Card,0.13,0,3.968970588235294,0.3333333333333333,0.6666666666666666,0,1,0,1,0
CUST_000034,2023-09-09,2026-06-30,33,United Kingdom,Technology,Small,Pro,Monthly,94.87,1,33,14,19.8,54.1,16,20.5,1,26.9,69.0,0,Credit Card,0.05,0,2.874848484848485,0.3333333333333333,0.4666666666666667,1,0,0,0,0
CUST_000035,2022-01-19,2026-06-30,53,United Kingdom,Professional Services,Small,Business,Annual,246.29,1,76,24,16.5,78.6,6,4.4,0,8.1,73.8,0,Credit Card,0.05,0,3.240657894736842,0.0,0.8,0,0,0,0,0
CUST_000036,2026-02-06,2026-06-30,4,United States,Technology,Mid-Market,Pro,Monthly,101.54,1,31,15,15.7,64.5,15,44.2,2,16.4,73.0,1,Credit Card,0.13,0,3.2754838709677423,0.6666666666666666,0.5,1,0,0,1,0
CUST_000037,2022-03-13,2026-06-30,51,India,Professional Services,Small,Basic,Monthly,50.63,1,13,6,14.6,41.1,24,18.1,0,37.5,64.4,0,ACH,0.16999999999999998,0,3.894615384615385,0.0,0.2,1,0,0,0,0
CUST_000038,2022-05-07,2026-06-30,49,United States,Technology,Enterprise,Enterprise,Annual,611.56,1,110,25,33.5,92.8,5,-11.2,3,14.9,83.1,0,ACH,0.1,0,5.559636363636363,1.0,0.8333333333333334,0,1,0,0,0
CUST_000039,2025-01-20,2026-06-30,17,India,Finance,Small,Basic,Monthly,45.76,0,14,10,14.7,35.4,20,-12.7,1,30.2,68.5,1,ACH,0.13,1,3.2685714285714282,0.3333333333333333,0.3333333333333333,1,1,0,1,0
CUST_000040,2023-04-24,2026-06-30,38,Germany,Manufacturing,Small,Basic,Monthly,46.69,1,12,2,8.6,26.1,28,18.6,1,40.3,65.5,0,ACH,0.16999999999999998,0,3.890833333333333,0.3333333333333333,0.06666666666666667,1,0,0,0,0
CUST_000041,2025-08-08,2026-06-30,10,United States,Healthcare,Small,Basic,Annual,49.84,0,12,9,2.0,33.0,21,-6.5,1,19.0,72.6,0,Wire Transfer,0.16999999999999998,0,4.153333333333333,0.3333333333333333,0.3,1,1,0,0,0
CUST_000042,2022-09-09,2026-06-30,45,United States,Professional Services,Small,Basic,Monthly,45.22,1,15,5,11.0,46.5,25,14.0,1,25.3,64.8,0,Credit Card,0.16999999999999998,0,3.0146666666666664,0.3333333333333333,0.16666666666666666,1,0,0,0,0
CUST_000043,2022-12-21,2026-06-30,42,United States,Technology,Mid-Market,Enterprise,Monthly,572.46,0,86,23,31.9,93.0,7,36.0,0,13.2,82.6,0,Credit Card,0.05,0,6.656511627906977,0.0,0.7666666666666667,0,0,0,0,0
CUST_000044,2024-09-02,2026-06-30,21,United States,Healthcare,Small,Basic,Annual,49.09,1,20,8,7.4,29.0,22,-24.5,0,28.5,66.9,0,ACH,0.27,0,2.4545000000000003,0.0,0.26666666666666666,1,1,0,0,0
CUST_000045,2026-01-30,2026-06-30,4,United States,Retail,Small,Basic,Monthly,47.1,0,21,3,11.4,41.1,27,-20.6,0,34.7,71.3,0,Wire Transfer,0.27,1,2.242857142857143,0.0,0.1,1,1,0,0,0
CUST_000046,2021-08-23,2026-06-30,58,India,Professional Services,Enterprise,Enterprise,Annual,605.87,1,90,20,30.5,93.5,10,-29.3,1,22.0,76.9,0,ACH,0.15000000000000002,0,6.731888888888889,0.3333333333333333,0.6666666666666666,0,1,0,0,0
CUST_000047,2024-03-22,2026-06-30,27,United States,Technology,Small,Basic,Annual,48.78,1,22,9,4.1,19.8,21,-27.7,2,34.0,59.7,1,Credit Card,0.45,0,2.2172727272727273,0.6666666666666666,0.3,1,1,1,1,0
CUST_000048,2022-01-09,2026-06-30,53,Australia,Finance,Small,Pro,Monthly,95.1,1,40,12,20.1,48.1,18,-15.1,0,14.0,68.1,1,Credit Card,0.23000000000000004,0,2.3775,0.0,0.4,1,1,0,1,0
CUST_000049,2023-01-31,2026-06-30,40,United States,Retail,Enterprise,Enterprise,Annual,576.1,1,76,24,24.0,82.4,6,-6.1,0,20.4,67.8,0,ACH,0.05,0,7.580263157894737,0.0,0.8,0,1,0,0,0
CUST_000050,2022-08-03,2026-06-30,46,India,Professional Services,Mid-Market,Pro,Monthly,105.33,1,28,14,18.8,46.7,16,-9.9,2,23.7,73.9,0,Credit Card,0.05,0,3.7617857142857143,0.6666666666666666,0.4666666666666667,1,1,0,0,0
CUST_000051,2022-09-05,2026-06-30,45,United States,Professional Services,Small,Basic,Monthly,49.94,0,15,4,6.4,29.8,26,3.7,5,26.7,57.3,0,ACH,0.32,1,3.329333333333333,1.6666666666666667,0.13333333333333333,1,0,1,0,0
CUST_000052,2025-06-16,2026-06-30,12,Canada,Professional Services,Enterprise,Pro,Monthly,100.22,0,19,11,16.7,60.0,19,-5.5,2,14.9,72.8,1,Credit Card,0.13,0,5.274736842105263,0.6666666666666666,0.36666666666666664,1,1,0,1,0
CUST_000053,2024-08-16,2026-06-30,22,United Kingdom,Healthcare,Small,Basic,Monthly,49.13,1,18,5,10.4,27.3,25,18.6,3,30.2,62.1,1,ACH,0.3,1,2.729444444444445,1.0,0.16666666666666666,1,0,0,1,0
CUST_000054,2024-02-14,2026-06-30,28,United States,Retail,Small,Basic,Annual,46.78,1,16,1,10.4,24.3,29,61.6,2,21.8,52.9,0,Credit Card,0.27,0,2.92375,0.6666666666666666,0.03333333333333333,1,0,1,0,0
CUST_000055,2023-12-20,2026-06-30,30,Australia,Professional Services,Small,Basic,Annual,47.62,1,26,7,14.3,40.9,23,-3.2,1,26.1,65.0,0,ACH,0.16999999999999998,0,1.8315384615384613,0.3333333333333333,0.23333333333333334,1,1,0,0,0
CUST_000056,2026-03-14,2026-06-30,3,United States,Professional Services,Enterprise,Business,Annual,219.11,1,71,19,25.4,74.0,11,-9.8,0,10.8,81.6,0,Credit Card,0.05,0,3.086056338028169,0.0,0.6333333333333333,0,1,0,0,0
CUST_000057,2023-09-23,2026-06-30,33,United Kingdom,Manufacturing,Small,Pro,Annual,95.85,1,32,15,12.9,61.8,15,-16.4,0,22.1,79.6,1,Credit Card,0.23000000000000004,0,2.9953125,0.0,0.5,1,1,0,1,0
CUST_000058,2025-08-28,2026-06-30,10,United Kingdom,Manufacturing,Mid-Market,Pro,Monthly,95.93,0,41,15,16.2,56.0,15,-32.8,2,22.1,69.8,0,Credit Card,0.15000000000000002,0,2.3397560975609757,0.6666666666666666,0.5,1,1,0,0,0
CUST_000059,2022-10-05,2026-06-30,44,United Kingdom,Professional Services,Small,Basic,Monthly,50.34,1,17,2,12.4,64.8,28,-12.3,2,24.0,65.4,0,Credit Card,0.16999999999999998,0,2.9611764705882355,0.6666666666666666,0.06666666666666667,1,1,0,0,0
CUST_000060,2023-01-21,2026-06-30,41,United States,Technology,Small,Basic,Monthly,47.52,1,20,2,12.2,33.7,28,2.4,3,28.7,67.4,1,Credit Card,0.3,1,2.3760000000000003,1.0,0.06666666666666667,1,0,0,1,0
CUST_000061,2021-11-18,2026-06-30,55,United States,Finance,Enterprise,Enterprise,Annual,622.54,1,61,23,32.2,85.3,7,-2.1,0,14.5,86.5,0,Credit Card,0.05,0,10.205573770491803,0.0,0.7666666666666667,0,1,0,0,0
CUST_000062,2022-10-03,2026-06-30,44,United States,Professional Services,Enterprise,Business,Annual,245.77,1,54,20,22.2,77.0,10,34.6,0,17.2,79.3,0,Credit Card,0.05,0,4.551296296296297,0.0,0.6666666666666666,0,0,0,0,0
CUST_000063,2024-08-11,2026-06-30,22,United States,Healthcare,Small,Basic,Monthly,49.36,0,18,6,13.4,32.4,24,9.2,3,42.1,58.5,0,Credit Card,0.32,0,2.7422222222222223,1.0,0.2,1,0,1,0,0
CUST_000064,2021-08-29,2026-06-30,58,United States,Technology,Small,Business,Monthly,248.61,1,57,17,25.1,77.7,13,24.0,0,15.5,73.3,0,Credit Card,0.05,1,4.361578947368422,0.0,0.5666666666666667,0,0,0,0,0
CUST_000065,2024-05-24,2026-06-30,25,India,Healthcare,Mid-Market,Business,Annual,257.71,0,72,23,23.4,72.5,7,-8.4,0,17.2,77.1,0,Credit Card,0.05,0,3.579305555555555,0.0,0.7666666666666667,0,1,0,0,0
CUST_000066,2024-10-24,2026-06-30,20,Canada,Retail,Small,Pro,Annual,104.97,1,37,15,15.2,64.6,15,-31.3,1,29.6,75.0,0,ACH,0.15000000000000002,0,2.837027027027027,0.3333333333333333,0.5,1,1,0,0,0
CUST_000067,2021-12-18,2026-06-30,54,United Kingdom,Professional Services,Small,Pro,Monthly,94.11,0,39,16,22.6,65.1,14,16.0,2,19.3,68.3,0,Credit Card,0.05,0,2.413076923076923,0.6666666666666666,0.5333333333333333,1,0,0,0,0
CUST_000068,2024-08-05,2026-06-30,22,United States,Manufacturing,Small,Basic,Monthly,53.31,1,19,9,8.8,30.2,21,17.6,3,33.1,63.8,0,Wire Transfer,0.21999999999999997,0,2.805789473684211,1.0,0.3,1,0,0,0,0
CUST_000069,2026-01-14,2026-06-30,5,United States,Technology,Enterprise,Business,Monthly,238.33,1,60,16,18.5,80.7,14,-20.5,0,12.6,76.3,0,ACH,0.15000000000000002,1,3.972166666666667,0.0,0.5333333333333333,1,1,0,0,0
CUST_000070,2024-02-09,2026-06-30,28,Canada,Healthcare,Small,Basic,Monthly,48.55,0,22,10,8.8,42.1,20,-39.0,4,26.5,61.6,0,Credit Card,0.2,0,2.2068181818181816,1.3333333333333333,0.3333333333333333,1,1,0,0,0
CUST_000071,2022-07-03,2026-06-30,47,United States,Technology,Small,Pro,Monthly,96.38,1,47,21,16.7,63.4,9,-34.0,1,25.3,82.1,1,Credit Card,0.23000000000000004,0,2.0506382978723403,0.3333333333333333,0.7,0,1,0,1,0
CUST_000072,2025-06-25,2026-06-30,12,United States,Professional Services,Small,Business,Annual,267.77,1,39,21,20.8,63.9,9,19.8,2,14.0,66.0,0,Credit Card,0.05,0,6.865897435897436,0.6666666666666666,0.7,0,0,0,0,0
CUST_000073,2024-02-21,2026-06-30,28,Canada,Technology,Small,Pro,Monthly,93.75,0,27,13,12.7,58.4,17,2.3,1,21.5,74.2,1,Wire Transfer,0.13,0,3.4722222222222223,0.3333333333333333,0.43333333333333335,1,0,0,1,0
CUST_000074,2025-10-10,2026-06-30,8,Canada,Retail,Small,Basic,Annual,50.76,1,18,3,9.6,26.7,27,-2.5,6,19.9,58.6,0,Credit Card,0.32,0,2.82,2.0,0.1,1,1,1,0,0
CUST_000075,2023-01-15,2026-06-30,41,India,Retail,Small,Pro,Monthly,88.07,0,44,11,20.5,50.9,19,14.4,3,32.1,64.9,0,Credit Card,0.1,0,2.001590909090909,1.0,0.36666666666666664,1,0,0,0,0
CUST_000076,2024-01-29,2026-06-30,29,United States,Retail,Mid-Market,Business,Annual,259.13,1,67,22,16.6,75.8,8,-5.1,0,21.4,79.0,2,Credit Card,0.13,0,3.867611940298507,0.0,0.7333333333333333,0,1,0,1,0
CUST_000077,2024-10-16,2026-06-30,20,Canada,Retail,Small,Basic,Monthly,48.53,1,13,9,10.6,30.0,21,-34.2,2,31.7,66.2,0,Wire Transfer,0.27,0,3.733076923076923,0.6666666666666666,0.3,1,1,0,0,0
CUST_000078,2025-04-19,2026-06-30,14,United States,Manufacturing,Small,Basic,Monthly,48.08,1,16,4,5.5,35.1,26,-12.1,2,26.9,66.2,0,Wire Transfer,0.16999999999999998,1,3.005,0.6666666666666666,0.13333333333333333,1,1,0,0,0
CUST_000079,2023-08-22,2026-06-30,34,United States,Retail,Enterprise,Business,Annual,240.39,1,67,21,17.6,81.8,9,57.0,0,8.5,78.2,0,Wire Transfer,0.05,0,3.587910447761194,0.0,0.7,0,0,0,0,0
CUST_000080,2023-02-14,2026-06-30,40,Germany,Technology,Small,Basic,Monthly,48.84,0,15,5,3.4,37.4,25,24.7,2,31.8,68.3,0,Wire Transfer,0.16999999999999998,0,3.2560000000000002,0.6666666666666666,0.16666666666666666,1,0,0,0,0
CUST_000081,2021-10-17,2026-06-30,56,United States,Finance,Small,Pro,Monthly,97.24,1,36,16,16.0,51.3,14,7.2,3,25.7,62.6,1,Credit Card,0.18,0,2.701111111111111,1.0,0.5333333333333333,1,0,0,1,0
CUST_000082,2024-04-07,2026-06-30,26,United Kingdom,Healthcare,Small,Basic,Monthly,45.35,1,14,9,3.0,36.4,21,-14.3,3,20.3,65.2,0,Credit Card,0.21999999999999997,0,3.2392857142857143,1.0,0.3,1,1,0,0,0
CUST_000083,2025-08-16,2026-06-30,10,Canada,Finance,Mid-Market,Business,Annual,239.23,1,64,22,22.5,76.7,8,9.2,0,10.5,81.3,0,ACH,0.05,0,3.73796875,0.0,0.7333333333333333,0,0,0,0,0
CUST_000084,2022-04-28,2026-06-30,50,United States,Manufacturing,Mid-Market,Pro,Monthly,102.95,0,39,12,15.4,59.6,18,21.6,2,23.6,65.2,1,Wire Transfer,0.13,1,2.6397435897435897,0.6666666666666666,0.4,1,0,0,1,0
CUST_000085,2023-04-27,2026-06-30,38,India,Finance,Mid-Market,Pro,Annual,97.01,1,16,16,17.8,47.4,14,8.3,1,25.4,70.7,0,ACH,0.05,0,6.063125,0.3333333333333333,0.5333333333333333,1,0,0,0,0
CUST_000086,2022-12-22,2026-06-30,42,Canada,Professional Services,Mid-Market,Business,Annual,239.16,1,77,20,13.4,72.8,10,0.1,1,17.1,69.4,0,Credit Card,0.05,0,3.105974025974026,0.3333333333333333,0.6666666666666666,0,0,0,0,0
CUST_000087,2025-12-08,2026-06-30,6,Australia,Technology,Small,Basic,Annual,49.11,1,27,9,3.2,35.1,21,-7.1,3,16.2,67.7,0,Wire Transfer,0.21999999999999997,0,1.8188888888888888,1.0,0.3,1,1,0,0,0
CUST_000088,2024-11-17,2026-06-30,19,Canada,Manufacturing,Enterprise,Enterprise,Annual,613.63,1,59,25,28.4,100.0,5,22.7,0,12.7,81.3,0,ACH,0.05,0,10.400508474576272,0.0,0.8333333333333334,0,0,0,0,0
CUST_000089,2022-08-22,2026-06-30,46,India,Technology,Small,Pro,Annual,102.22,1,33,11,15.9,48.8,19,0.5,3,23.2,70.8,0,Credit Card,0.1,0,3.0975757575757576,1.0,0.36666666666666664,1,0,0,0,0
CUST_000090,2022-04-29,2026-06-30,50,United States,Healthcare,Small,Pro,Monthly,100.67,0,23,14,19.9,57.2,16,-4.0,1,16.7,72.1,0,ACH,0.05,0,4.376956521739131,0.3333333333333333,0.4666666666666667,1,1,0,0,0
CUST_000091,2024-04-10,2026-06-30,26,Canada,Finance,Small,Basic,Monthly,51.96,0,7,9,9.3,31.0,21,-3.4,2,29.9,61.4,0,Wire Transfer,0.16999999999999998,0,7.422857142857143,0.6666666666666666,0.3,1,1,0,0,0
CUST_000092,2022-06-17,2026-06-30,48,Germany,Retail,Small,Pro,Annual,99.24,0,40,10,12.7,46.8,20,-11.6,1,20.6,67.9,0,ACH,0.05,0,2.481,0.3333333333333333,0.3333333333333333,1,1,0,0,0
CUST_000093,2022-04-12,2026-06-30,50,United States,Technology,Small,Basic,Annual,48.42,1,27,9,14.5,38.3,21,4.0,2,19.2,68.5,1,Credit Card,0.25,0,1.7933333333333334,0.6666666666666666,0.3,1,0,0,1,0
CUST_000094,2024-07-05,2026-06-30,23,United States,Manufacturing,Small,Pro,Annual,103.32,1,34,15,13.5,50.4,15,-35.2,2,24.0,66.1,0,Credit Card,0.15000000000000002,0,3.0388235294117645,0.6666666666666666,0.5,1,1,0,0,0
CUST_000095,2021-12-31,2026-06-30,53,India,Retail,Mid-Market,Business,Annual,240.18,0,75,17,16.0,83.0,13,-11.7,0,22.5,79.5,0,Credit Card,0.05,1,3.2024,0.0,0.5666666666666667,0,1,0,0,0
CUST_000096,2024-12-30,2026-06-30,17,United Kingdom,Professional Services,Mid-Market,Basic,Monthly,48.01,1,14,8,11.3,28.6,22,-15.0,3,35.8,69.1,0,Credit Card,0.32,0,3.4292857142857143,1.0,0.26666666666666666,1,1,0,0,0
CUST_000097,2025-03-27,2026-06-30,15,Germany,Manufacturing,Mid-Market,Business,Monthly,229.17,1,45,18,22.0,74.2,12,14.6,2,21.9,67.0,0,ACH,0.05,0,5.092666666666666,0.6666666666666666,0.6,0,0,0,0,0
CUST_000098,2023-01-22,2026-06-30,41,United Kingdom,Retail,Small,Pro,Monthly,107.98,1,32,15,19.4,57.1,15,7.8,2,22.3,69.3,0,ACH,0.05,0,3.374375,0.6666666666666666,0.5,1,0,0,0,0
CUST_000099,2023-04-15,2026-06-30,38,Australia,Professional Services,Small,Basic,Monthly,54.11,1,14,5,5.8,34.9,25,48.6,1,26.4,69.5,0,Credit Card,0.16999999999999998,0,3.8649999999999998,0.3333333333333333,0.16666666666666666,1,0,0,0,0
CUST_000100,2025-09-23,2026-06-30,9,India,Technology,Mid-Market,Business,Annual,246.82,1,64,23,22.2,63.7,7,-4.8,1,11.8,70.3,0,ACH,0.05,0,3.8565625,0.3333333333333333,0.7666666666666667,0,1,0,0,0
CUST_000101,2022-04-28,2026-06-30,50,United Kingdom,Retail,Small,Pro,Monthly,102.78,0,42,17,13.3,44.4,13,15.0,2,12.7,73.0,0,Wire Transfer,0.05,0,2.447142857142857,0.6666666666666666,0.5666666666666667,0,0,0,0,0
CUST_000102,2025-06-07,2026-06-30,12,United States,Finance,Small,Basic,Monthly,50.71,1,12,10,11.0,38.9,20,-39.7,7,30.4,46.2,0,Wire Transfer,0.3,1,4.225833333333333,2.3333333333333335,0.3333333333333333,1,1,1,0,0
CUST_000103,2022-06-17,2026-06-30,48,United States,Manufacturing,Small,Basic,Monthly,49.46,1,11,13,7.2,45.0,17,-0.5,4,30.5,64.6,0,Credit Card,0.1,1,4.496363636363636,1.3333333333333333,0.43333333333333335,1,1,0,0,0
CUST_000104,2026-05-18,2026-06-30,1,United Kingdom,Technology,Small,Pro,Monthly,105.02,0,41,18,16.1,45.0,12,-12.5,4,21.6,55.5,1,ACH,0.28,0,2.5614634146341464,1.3333333333333333,0.6,0,1,1,1,0
CUST_000105,2022-07-01,2026-06-30,47,Australia,Healthcare,Small,Basic,Monthly,45.9,0,16,10,14.6,16.2,20,-25.0,4,35.9,56.4,0,Credit Card,0.3,0,2.86875,1.3333333333333333,0.3333333333333333,1,1,1,0,0
CUST_000106,2022-07-19,2026-06-30,47,Canada,Retail,Mid-Market,Pro,Monthly,98.09,0,40,18,16.3,58.3,12,4.2,0,29.1,69.8,0,ACH,0.05,0,2.4522500000000003,0.0,0.6,0,0,0,0,0
CUST_000107,2022-07-31,2026-06-30,46,United States,Healthcare,Mid-Market,Business,Annual,223.02,1,51,19,20.7,79.6,11,34.7,0,20.6,74.1,0,Credit Card,0.05,0,4.372941176470588,0.0,0.6333333333333333,0,0,0,0,0
